,mobile_name,mobile_price,mobile_rating,mobile_description
112,"Infinix Note 40 5G (Obsidian Black, 256 GB)","₹15,999",4.2,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 7020 Processor1 Year on Handset
113,MOTOROLA A50V Dual Sim Keypad Phone|1750 mAh Battery|1.8inch Display|Expandable Upto 32GB,"₹1,393",4.1,4 MB RAM | 0.05 GB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) Display1750 mAh Battery2 Years Domestic Replacement Warranty
114,Kechaoda A26_rose gold,₹894,3.9,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB1.68 cm (0.66 inch) NA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor1 Year Company Domestic Warranty by Company Authorized Service Center.
115,"IQOO 9 Pro 5G (Legend, 256 GB)","₹1,084",4.1,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP + 16MP | 16MP Front Camera4700 mAh BatterySnapdragon® 8 Gen 1 Mobile Processor Processor1 year manufacturer warranty
116,SAMSUNG Metro 313,₹899,3.3,4 MB RAM | 32 MB ROM5.16 cm (2.03 inch) Display0.3MP Rear Camera1000 mAh Battery1 Year Warranty
117,Kechaoda A26_black,"₹1,369",4,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB1.68 cm (0.66 inch) NA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor1 Year Company Domestic Warranty by Company Authorized Service Center.
118,SAMSUNG Guru Music 2 B310ED,"₹14,999",3.1,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB4.57 cm (1.8 inch) VGA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor1 Year Warranty
119,"REDMI A2+ (Aqua Blue, 128 GB)",₹480,4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP + 8MP | 5MP + 5MP Dual Front Camera5000 mAh BatteryOCTA CORE Processor1 Year and 6 months for Battery,Accessories"
120,"realme 14x 5G (Jewel Red, 128 GB)","₹8,499",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
121,Jmax Super 2,"₹44,999",3.9,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display0.3MP Rear Camera1100 mAh Battery3 months Domestic Warranty
122,"realme C63 (Jade Green, 64 GB)","₹24,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
